Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Taranaki,Home-based,Other/ Unknown*,Age 2,0,0,0,0,0,1,1,5,8,15,40,2,5,4,3
Southland,Home-based,Other/ Unknown*,Age 2,0,0,0,0,0,0,0,1,8,3,6,5,3,3,0
Otago,Home-based,Other/ Unknown*,Age 2,0,0,1,2,1,0,4,18,6,10,8,7,4,6,3
Northland,Home-based,Other/ Unknown*,Age 2,1,0,0,0,0,1,0,0,2,2,7,1,0,1,3
Nelson,Home-based,Other/ Unknown*,Age 2,0,0,1,1,1,0,0,0,2,0,10,1,2,0,0
Marlborough,Home-based,Other/ Unknown*,Age 2,0,0,0,0,0,0,0,0,0,10,1,3,0,2,1
Manawatu-Wanganui,Home-based,Other/ Unknown*,Age 2,0,0,0,2,0,0,1,5,11,32,25,16,7,16,10
Hawkes Bay,Home-based,Other/ Unknown*,Age 2,2,2,1,0,0,10,1,93,87,112,16,3,5,8,18
Gisborne,Home-based,Other/ Unknown*,Age 2,0,1,0,0,0,1,0,0,1,1,2,0,1,1,0
Canterbury,Home-based,Other/ Unknown*,Age 2,13,1,4,4,1,0,2,68,92,123,52,22,16,18,11
Bay of Plenty,Home-based,Other/ Unknown*,Age 2,5,4,8,1,3,3,7,64,80,94,62,22,31,26,13
Auckland,Home-based,Other/ Unknown*,Age 2,49,38,28,24,25,12,12,189,276,328,121,44,74,84,51
Area outside regions,Home-based,Other/ Unknown*,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Other/ Unknown*,Age 2,1,0,0,0,2,0,1,1,1,1,4,8,0,2,1
Wellington,Education & Care,Other/ Unknown*,Age 2,32,19,41,32,21,40,33,42,50,69,72,53,55,65,89
Waikato,Education & Care,Other/ Unknown*,Age 2,33,12,11,17,16,21,23,59,29,39,35,75,50,60,41
Tasman,Education & Care,Other/ Unknown*,Age 2,0,0,0,0,1,0,6,0,2,1,1,1,1,2,8
Taranaki,Education & Care,Other/ Unknown*,Age 2,6,3,2,2,4,3,0,6,9,3,7,13,6,13,13
Southland,Education & Care,Other/ Unknown*,Age 2,1,0,1,0,0,0,0,2,3,0,3,4,2,6,3
Otago,Education & Care,Other/ Unknown*,Age 2,4,9,4,5,4,12,8,7,9,17,16,43,23,33,25
Northland,Education & Care,Other/ Unknown*,Age 2,5,6,2,7,5,6,4,10,8,9,13,9,12,9,9
Nelson,Education & Care,Other/ Unknown*,Age 2,3,2,3,2,1,2,4,2,2,2,1,8,1,3,1
Marlborough,Education & Care,Other/ Unknown*,Age 2,0,1,1,0,2,2,2,1,2,2,4,2,3,5,3
Manawatu-Wanganui,Education & Care,Other/ Unknown*,Age 2,8,13,7,6,15,12,7,13,14,14,15,19,23,28,15
Hawkes Bay,Education & Care,Other/ Unknown*,Age 2,5,5,7,3,0,3,1,23,8,7,7,26,20,20,14
Gisborne,Education & Care,Other/ Unknown*,Age 2,0,0,0,1,0,1,0,2,1,1,6,1,3,3,3
Canterbury,Education & Care,Other/ Unknown*,Age 2,29,28,21,38,45,41,51,53,70,100,79,111,58,100,86
Bay of Plenty,Education & Care,Other/ Unknown*,Age 2,17,8,7,3,9,8,16,3,16,24,19,31,28,25,22
Auckland,Education & Care,Other/ Unknown*,Age 2,177,159,166,182,158,152,215,202,210,306,312,309,276,262,281
Area outside regions,Education & Care,Other/ Unknown*,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
Wellington,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,12
Waikato,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
Tasman,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
Taranaki,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,1
Southland,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,2
Otago,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,3
Northland,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,2
Nelson,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,1
Marlborough,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,2
Hawkes Bay,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
Gisborne,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
Canterbury,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,4
Bay of Plenty,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,7
Auckland,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,9
Area outside regions,Playcentre,Not Stated,Age 2,,,,,,,,,,,,,,,0
West Coast,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Wellington,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Waikato,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Tasman,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Taranaki,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Southland,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Otago,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Northland,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Nelson,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Marlborough,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Hawkes Bay,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Gisborne,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Canterbury,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Bay of Plenty,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Auckland,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
Area outside regions,Kōhanga Reo,Not Stated,Age 2,,,,,,,,,,,,,,,0
West Coast,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Wellington,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,1
Waikato,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,1
Tasman,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Taranaki,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Southland,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Otago,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Northland,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Nelson,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Marlborough,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,1
Hawkes Bay,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Gisborne,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Canterbury,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Bay of Plenty,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,1
Auckland,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
Area outside regions,Kindergarten,Not Stated,Age 2,,,,,,,,,,,,,,,0
West Coast,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Wellington,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Waikato,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,1
Tasman,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Taranaki,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Southland,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Otago,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Northland,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Nelson,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Marlborough,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Hawkes Bay,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Gisborne,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
Canterbury,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,3
Bay of Plenty,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,16
Auckland,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,23
Area outside regions,Home-based,Not Stated,Age 2,,,,,,,,,,,,,,,0
West Coast,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,0
Wellington,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,6
Waikato,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,13
Tasman,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,0
Taranaki,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,1
Southland,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,1
Otago,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,1
Northland,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,4
Nelson,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,1
Marlborough,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,4
Hawkes Bay,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,0
Gisborne,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,1
Canterbury,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,13
Bay of Plenty,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,4
Auckland,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,22
Area outside regions,Education & Care,Not Stated,Age 2,,,,,,,,,,,,,,,0
West Coast,Playcentre,Māori,Age 2,4,2,3,5,3,5,5,4,6,3,8,11,7,11,6
Wellington,Playcentre,Māori,Age 2,42,54,59,59,48,55,79,55,43,67,65,56,49,52,36
Waikato,Playcentre,Māori,Age 2,70,60,78,67,76,64,74,51,81,82,66,83,67,88,66
Tasman,Playcentre,Māori,Age 2,9,9,9,13,7,11,11,7,10,8,6,2,15,9,5
Taranaki,Playcentre,Māori,Age 2,18,9,11,15,13,13,13,15,16,20,27,20,16,10,14
Southland,Playcentre,Māori,Age 2,5,6,7,7,15,9,4,8,15,13,10,10,8,7,16
Otago,Playcentre,Māori,Age 2,17,15,28,15,15,15,18,18,26,18,29,27,19,26,22
Northland,Playcentre,Māori,Age 2,82,62,81,71,68,78,62,76,62,86,103,58,65,74,51
Nelson,Playcentre,Māori,Age 2,6,8,2,3,3,0,3,6,5,8,10,1,1,7,4
Marlborough,Playcentre,Māori,Age 2,2,2,2,4,1,5,4,3,2,4,5,4,2,6,5
Manawatu-Wanganui,Playcentre,Māori,Age 2,28,31,42,21,34,16,25,16,33,41,34,28,29,16,26
Hawkes Bay,Playcentre,Māori,Age 2,24,11,26,22,22,18,33,21,21,22,17,28,23,18,9
Gisborne,Playcentre,Māori,Age 2,17,18,20,13,15,14,14,13,4,5,8,16,13,9,11
Canterbury,Playcentre,Māori,Age 2,23,29,23,34,38,42,45,25,31,45,39,43,44,43,45
Bay of Plenty,Playcentre,Māori,Age 2,46,31,55,39,44,37,46,46,28,51,42,44,28,41,33
Auckland,Playcentre,Māori,Age 2,90,55,61,78,87,98,63,86,76,66,88,90,67,71,74
Area outside regions,Playcentre,Māori,Age 2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Māori,Age 2,13,7,12,1,4,0,0,0,0,0,0,0,0,4,1
Wellington,Kōhanga Reo,Māori,Age 2,226,177,227,218,234,222,205,183,193,187,214,192,192,173,167
Waikato,Kōhanga Reo,Māori,Age 2,279,290,330,356,325,333,279,305,304,317,337,350,316,327,314
Tasman,Kōhanga Reo,Māori,Age 2,0,0,2,2,2,1,4,1,3,2,0,1,3,1,3
Taranaki,Kōhanga Reo,Māori,Age 2,88,107,102,92,86,73,110,70,65,92,74,87,72,99,77
Southland,Kōhanga Reo,Māori,Age 2,37,29,27,38,31,38,25,21,30,25,36,27,24,32,19
Otago,Kōhanga Reo,Māori,Age 2,25,20,17,17,13,10,9,6,8,19,11,16,15,9,18
Northland,Kōhanga Reo,Māori,Age 2,249,214,219,206,214,166,179,160,162,175,167,187,186,165,177
Nelson,Kōhanga Reo,Māori,Age 2,15,7,9,17,14,8,8,15,11,12,11,14,13,10,12
Marlborough,Kōhanga Reo,Māori,Age 2,16,7,13,12,9,16,18,8,6,11,9,21,16,10,3
Manawatu-Wanganui,Kōhanga Reo,Māori,Age 2,334,223,267,292,256,247,229,213,219,235,242,261,237,251,232
Hawkes Bay,Kōhanga Reo,Māori,Age 2,268,182,245,270,267,250,273,259,250,262,255,273,255,215,217
Gisborne,Kōhanga Reo,Māori,Age 2,134,139,143,140,142,137,117,116,126,116,117,95,100,107,109
Canterbury,Kōhanga Reo,Māori,Age 2,49,53,55,42,41,32,29,24,21,21,30,19,30,31,19
Bay of Plenty,Kōhanga Reo,Māori,Age 2,433,378,448,398,429,399,427,422,392,420,398,437,392,370,379
Auckland,Kōhanga Reo,Māori,Age 2,364,294,343,378,340,333,274,288,287,288,315,282,329,285,258
Area outside regions,Kōhanga Reo,Māori,Age 2,2,3,5,6,2,4,5,4,5,2,3,3,2,6,3
West Coast,Kindergarten,Māori,Age 2,0,1,0,0,0,0,0,3,0,0,0,1,1,0,1
Wellington,Kindergarten,Māori,Age 2,21,25,19,18,13,25,34,39,40,34,45,71,66,83,118
Waikato,Kindergarten,Māori,Age 2,42,27,38,51,46,33,45,47,50,27,22,33,35,88,123
Tasman,Kindergarten,Māori,Age 2,2,3,3,2,2,4,2,3,1,4,5,6,4,12,11
Taranaki,Kindergarten,Māori,Age 2,0,0,0,6,1,5,2,3,7,2,5,6,3,8,8
Southland,Kindergarten,Māori,Age 2,3,3,6,4,9,17,17,4,22,8,3,1,3,3,5
Otago,Kindergarten,Māori,Age 2,7,7,19,21,15,23,26,28,29,32,48,39,26,37,41
Northland,Kindergarten,Māori,Age 2,1,9,6,2,6,19,22,24,31,13,0,1,8,10,9
Nelson,Kindergarten,Māori,Age 2,0,0,0,0,2,3,0,1,1,5,9,7,6,13,11
Marlborough,Kindergarten,Māori,Age 2,3,4,1,4,2,1,5,1,3,1,0,3,4,6,5
Manawatu-Wanganui,Kindergarten,Māori,Age 2,16,10,29,33,26,32,40,43,20,19,32,29,46,52,65
Hawkes Bay,Kindergarten,Māori,Age 2,6,11,15,17,13,27,22,16,25,26,9,16,15,41,27
Gisborne,Kindergarten,Māori,Age 2,2,3,1,2,4,9,2,3,4,5,8,6,7,9,18
Canterbury,Kindergarten,Māori,Age 2,6,11,12,19,21,16,15,15,11,14,6,10,12,16,17
Bay of Plenty,Kindergarten,Māori,Age 2,34,22,20,24,11,17,27,21,23,24,31,59,71,94,100
Auckland,Kindergarten,Māori,Age 2,5,3,12,7,6,8,11,13,13,14,1,5,21,27,27
Area outside regions,Kindergarten,Māori,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,Māori,Age 2,4,1,2,3,1,0,2,0,3,0,0,1,5,2,0
Wellington,Home-based,Māori,Age 2,32,25,27,27,36,36,39,39,40,41,53,59,56,69,70
Waikato,Home-based,Māori,Age 2,34,23,27,39,32,51,41,36,38,66,53,59,71,71,67
Tasman,Home-based,Māori,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,Māori,Age 2,15,16,13,11,13,7,12,15,13,16,19,24,30,27,29
Southland,Home-based,Māori,Age 2,9,6,11,4,9,10,4,9,5,9,9,21,20,13,10
Otago,Home-based,Māori,Age 2,13,14,13,11,11,16,13,21,15,24,25,27,27,29,28
Northland,Home-based,Māori,Age 2,9,6,2,12,12,9,10,21,24,42,49,44,43,63,57
Nelson,Home-based,Māori,Age 2,6,9,7,3,5,6,4,7,2,4,7,3,7,6,7
Marlborough,Home-based,Māori,Age 2,4,1,0,2,3,0,3,1,3,3,5,3,7,4,6
Manawatu-Wanganui,Home-based,Māori,Age 2,11,8,10,8,16,17,21,38,46,48,88,96,70,86,70
Hawkes Bay,Home-based,Māori,Age 2,33,26,29,44,37,20,38,34,40,33,59,55,76,66,57
Gisborne,Home-based,Māori,Age 2,7,10,12,9,14,14,17,13,24,30,16,22,7,22,20
Canterbury,Home-based,Māori,Age 2,11,14,23,12,13,11,13,20,16,20,28,25,32,26,31
Bay of Plenty,Home-based,Māori,Age 2,51,60,50,65,74,70,94,85,85,111,148,178,226,215,260
Auckland,Home-based,Māori,Age 2,41,49,42,57,45,66,62,54,45,51,81,91,109,140,154
Area outside regions,Home-based,Māori,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Māori,Age 2,6,9,12,17,20,16,18,23,22,12,22,18,24,23,24
Wellington,Education & Care,Māori,Age 2,207,200,203,267,265,295,279,287,329,332,304,379,352,424,386
Waikato,Education & Care,Māori,Age 2,248,235,264,270,290,322,353,462,374,424,485,512,519,639,688
Tasman,Education & Care,Māori,Age 2,7,12,11,18,15,12,16,8,14,11,16,20,21,21,41
Taranaki,Education & Care,Māori,Age 2,45,44,48,65,43,53,65,58,68,55,80,83,85,81,100
Southland,Education & Care,Māori,Age 2,20,17,29,24,36,40,42,57,45,53,53,72,89,96,93
Otago,Education & Care,Māori,Age 2,42,52,41,67,59,63,63,84,91,70,100,117,118,114,127
Northland,Education & Care,Māori,Age 2,126,145,178,182,185,175,194,210,213,215,237,256,287,340,332
Nelson,Education & Care,Māori,Age 2,18,20,22,21,19,23,38,18,16,27,35,42,29,30,41
Marlborough,Education & Care,Māori,Age 2,17,19,16,14,23,17,16,20,25,31,32,47,35,51,44
Manawatu-Wanganui,Education & Care,Māori,Age 2,141,159,181,162,188,203,213,240,241,251,284,257,299,303,302
Hawkes Bay,Education & Care,Māori,Age 2,142,134,142,158,168,150,148,187,180,188,203,267,267,292,352
Gisborne,Education & Care,Māori,Age 2,58,47,52,62,71,62,76,89,78,97,126,125,130,152,161
Canterbury,Education & Care,Māori,Age 2,204,242,252,284,274,311,351,373,385,431,474,415,444,507,548
Bay of Plenty,Education & Care,Māori,Age 2,284,297,350,310,332,364,465,461,444,479,569,544,558,593,648
Auckland,Education & Care,Māori,Age 2,639,673,731,782,807,800,807,875,950,1025,1020,1038,1179,1307,1453
Area outside regions,Education & Care,Māori,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,European/ Pākehā,Age 2,39,40,46,45,31,37,47,41,37,45,43,34,45,25,33
Wellington,Playcentre,European/ Pākehā,Age 2,366,409,455,511,440,466,408,447,497,454,458,385,392,349,289
Waikato,Playcentre,European/ Pākehā,Age 2,455,423,437,427,423,365,324,392,366,378,399,355,387,309,276
Tasman,Playcentre,European/ Pākehā,Age 2,99,90,103,98,84,91,101,96,121,86,87,90,73,65,46
Taranaki,Playcentre,European/ Pākehā,Age 2,106,110,103,103,127,87,111,88,103,118,103,108,114,114,99
Southland,Playcentre,European/ Pākehā,Age 2,80,65,58,82,84,94,106,115,109,84,94,70,95,72,58
Otago,Playcentre,European/ Pākehā,Age 2,178,178,180,233,224,208,217,174,194,202,208,208,195,167,143
Northland,Playcentre,European/ Pākehā,Age 2,239,240,216,217,196,177,222,229,202,218,192,164,147,111,111
Nelson,Playcentre,European/ Pākehā,Age 2,29,24,29,39,29,44,45,49,37,52,38,35,39,37,22
Marlborough,Playcentre,European/ Pākehā,Age 2,41,47,46,41,34,53,52,44,62,37,31,46,24,19,27
Manawatu-Wanganui,Playcentre,European/ Pākehā,Age 2,180,141,166,173,163,155,143,157,155,134,141,135,119,118,118
Hawkes Bay,Playcentre,European/ Pākehā,Age 2,121,109,112,122,158,109,124,77,71,91,61,74,80,74,66
Gisborne,Playcentre,European/ Pākehā,Age 2,45,40,42,37,32,36,22,32,28,25,34,40,23,30,31
Canterbury,Playcentre,European/ Pākehā,Age 2,514,483,506,503,524,555,510,482,504,532,502,444,463,393,395
Bay of Plenty,Playcentre,European/ Pākehā,Age 2,243,258,256,221,217,219,234,244,196,224,235,205,196,207,190
Auckland,Playcentre,European/ Pākehā,Age 2,645,548,568,536,568,551,530,519,510,550,555,504,488,492,396
Area outside regions,Playcentre,European/ Pākehā,Age 2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waikato,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasman,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay of Plenty,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auckland,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area outside regions,Kōhanga Reo,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,European/ Pākehā,Age 2,0,1,0,3,0,1,0,9,5,0,2,0,0,24,25
Wellington,Kindergarten,European/ Pākehā,Age 2,70,68,60,53,70,59,62,90,111,129,140,205,206,300,329
Waikato,Kindergarten,European/ Pākehā,Age 2,124,148,177,114,105,119,116,131,99,48,61,66,92,123,185
Tasman,Kindergarten,European/ Pākehā,Age 2,10,8,7,4,2,8,4,5,7,15,23,28,55,59,42
Taranaki,Kindergarten,European/ Pākehā,Age 2,1,1,4,9,6,0,15,10,12,8,6,17,14,23,17
Southland,Kindergarten,European/ Pākehā,Age 2,28,19,28,21,21,32,26,35,39,17,6,16,7,17,12
Otago,Kindergarten,European/ Pākehā,Age 2,89,134,111,155,105,148,178,194,181,207,204,171,206,205,188
Northland,Kindergarten,European/ Pākehā,Age 2,0,3,4,1,3,5,19,34,25,27,0,2,12,10,11
Nelson,Kindergarten,European/ Pākehā,Age 2,2,4,1,2,5,3,3,9,10,35,41,34,60,73,46
Marlborough,Kindergarten,European/ Pākehā,Age 2,18,26,26,29,28,13,28,6,24,4,4,28,12,23,15
Manawatu-Wanganui,Kindergarten,European/ Pākehā,Age 2,27,63,106,63,57,64,106,89,60,52,27,59,74,73,71
Hawkes Bay,Kindergarten,European/ Pākehā,Age 2,17,45,53,20,28,57,71,41,43,52,24,26,34,48,39
Gisborne,Kindergarten,European/ Pākehā,Age 2,1,3,2,2,0,0,3,3,13,7,14,2,16,20,23
Canterbury,Kindergarten,European/ Pākehā,Age 2,60,61,70,78,64,79,123,111,115,96,85,81,88,79,120
Bay of Plenty,Kindergarten,European/ Pākehā,Age 2,65,52,24,35,23,25,30,30,28,47,31,68,79,86,81
Auckland,Kindergarten,European/ Pākehā,Age 2,0,5,5,6,15,12,20,34,57,52,37,33,59,64,46
Area outside regions,Kindergarten,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,European/ Pākehā,Age 2,22,14,22,5,26,36,21,4,7,6,3,25,11,13,16
Wellington,Home-based,European/ Pākehā,Age 2,204,227,206,250,248,272,267,187,181,185,327,413,375,347,294
Waikato,Home-based,European/ Pākehā,Age 2,143,134,153,182,205,189,191,178,170,193,245,208,209,212,210
Tasman,Home-based,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,European/ Pākehā,Age 2,56,59,54,89,67,82,72,60,60,89,55,99,102,86,107
Southland,Home-based,European/ Pākehā,Age 2,68,65,50,45,41,29,47,56,64,58,74,56,76,61,58
Otago,Home-based,European/ Pākehā,Age 2,221,198,185,211,214,159,164,187,152,200,197,150,206,203,175
Northland,Home-based,European/ Pākehā,Age 2,19,18,9,12,17,36,18,30,46,81,72,55,69,52,42
Nelson,Home-based,European/ Pākehā,Age 2,54,39,60,39,29,30,28,25,34,27,40,41,50,35,46
Marlborough,Home-based,European/ Pākehā,Age 2,9,14,12,7,6,8,17,12,14,13,41,36,65,56,75
Manawatu-Wanganui,Home-based,European/ Pākehā,Age 2,72,54,58,51,51,65,58,93,146,113,202,218,275,278,273
Hawkes Bay,Home-based,European/ Pākehā,Age 2,139,114,161,183,215,207,176,140,142,157,294,298,340,242,227
Gisborne,Home-based,European/ Pākehā,Age 2,7,12,16,17,18,10,8,20,17,22,18,19,21,18,11
Canterbury,Home-based,European/ Pākehā,Age 2,208,187,161,197,172,150,222,141,165,165,286,337,346,304,265
Bay of Plenty,Home-based,European/ Pākehā,Age 2,202,186,228,237,248,237,231,221,210,285,347,425,432,436,371
Auckland,Home-based,European/ Pākehā,Age 2,406,407,426,411,427,440,428,310,296,334,606,787,707,713,788
Area outside regions,Home-based,European/ Pākehā,Age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,European/ Pākehā,Age 2,100,83,93,125,125,112,128,131,126,149,167,162,175,158,151
Wellington,Education & Care,European/ Pākehā,Age 2,1568,1685,1723,1597,1591,1725,1774,1779,1778,1686,1694,1685,1796,1808,1764
Waikato,Education & Care,European/ Pākehā,Age 2,1006,1040,1064,1124,1287,1298,1331,1376,1479,1544,1595,1640,1609,1617,1618
Tasman,Education & Care,European/ Pākehā,Age 2,117,130,148,163,175,168,192,193,174,216,239,229,202,216,214
Taranaki,Education & Care,European/ Pākehā,Age 2,266,242,285,283,266,295,305,336,309,339,375,349,352,377,388
Southland,Education & Care,European/ Pākehā,Age 2,187,192,222,285,283,310,342,360,315,327,403,366,356,349,386
Otago,Education & Care,European/ Pākehā,Age 2,629,605,666,698,684,749,747,847,786,846,864,897,912,959,831
Northland,Education & Care,European/ Pākehā,Age 2,276,327,354,334,302,363,355,366,407,432,427,399,446,438,435
Nelson,Education & Care,European/ Pākehā,Age 2,187,164,180,190,186,165,184,186,163,208,227,237,217,202,205
