Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Wellington,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Waikato,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasman,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Kindergarten,Other/ Unknown*,Less than 1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bay of Plenty,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auckland,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area outside regions,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,4,10,2,0,1,0,0,0
Wellington,Home-based,Other/ Unknown*,Less than 1,0,0,1,0,5,2,1,92,101,125,26,9,23,13,12
Waikato,Home-based,Other/ Unknown*,Less than 1,1,1,0,1,4,0,4,49,69,57,26,22,10,14,17
Tasman,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,3,1,9,1,0,3,1
Southland,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,1,5,0,2,0,2,0
Otago,Home-based,Other/ Unknown*,Less than 1,0,0,1,0,0,1,1,1,2,1,3,4,1,3,0
Northland,Home-based,Other/ Unknown*,Less than 1,0,0,0,2,0,0,0,0,0,2,4,0,0,1,0
Nelson,Home-based,Other/ Unknown*,Less than 1,0,0,1,0,0,0,0,0,1,3,5,1,0,2,0
Marlborough,Home-based,Other/ Unknown*,Less than 1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0
Manawatu-Wanganui,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,1,2,8,10,14,7,3,7,7
Hawkes Bay,Home-based,Other/ Unknown*,Less than 1,0,1,0,1,0,5,0,34,21,42,9,0,0,6,7
Gisborne,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0
Canterbury,Home-based,Other/ Unknown*,Less than 1,1,0,1,0,1,0,0,32,26,34,23,15,5,2,4
Bay of Plenty,Home-based,Other/ Unknown*,Less than 1,2,2,3,0,0,2,3,40,38,38,20,12,9,14,7
Auckland,Home-based,Other/ Unknown*,Less than 1,20,15,6,7,7,1,6,154,130,158,68,25,28,27,26
Area outside regions,Home-based,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wellington,Education & Care,Other/ Unknown*,Less than 1,5,3,3,0,4,6,4,5,6,14,13,5,14,9,8
Waikato,Education & Care,Other/ Unknown*,Less than 1,2,2,1,4,3,4,0,5,4,12,3,14,6,11,13
Tasman,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Taranaki,Education & Care,Other/ Unknown*,Less than 1,5,0,1,0,0,0,1,0,2,3,0,2,0,2,3
Southland,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
Otago,Education & Care,Other/ Unknown*,Less than 1,1,2,1,0,1,3,4,2,4,10,8,8,6,8,6
Northland,Education & Care,Other/ Unknown*,Less than 1,2,0,1,1,1,1,0,4,3,1,1,2,2,4,4
Nelson,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Marlborough,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,1,1,0,0,1,2,1,1,1,0,0
Manawatu-Wanganui,Education & Care,Other/ Unknown*,Less than 1,0,1,0,2,4,4,2,6,5,1,2,2,2,6,7
Hawkes Bay,Education & Care,Other/ Unknown*,Less than 1,1,2,0,2,0,2,0,5,0,0,2,13,2,2,0
Gisborne,Education & Care,Other/ Unknown*,Less than 1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
Canterbury,Education & Care,Other/ Unknown*,Less than 1,4,10,4,3,9,13,11,10,13,25,14,20,17,21,11
Bay of Plenty,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,3,1,1,2,8,2,4,0,3,0,1
Auckland,Education & Care,Other/ Unknown*,Less than 1,30,24,16,16,28,31,31,42,41,46,62,48,38,42,41
Area outside regions,Education & Care,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Wellington,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,17
Waikato,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,27
